study_id,outcome_family,synthesis_family,exposure_definition,comparator_definition,effect_measure,effect_estimate,lower_CI,upper_CI,standard_error,sample_size,direction,adjusted,evidence_status,provenance_note,included_in_pooled_estimate,exclusion_from_pooling_reason
S312,effective_access,,"State Public-Utility-Commission (PUC) regulatory authority/reach and state-/city-level political partisanship (Democratic- vs. Republican-leaning), as predictors of state/city adoption of water-disconnection moratoria during the COVID-19 pandemic.",States/cities with weaker PUC regulatory reach and/or more Republican-leaning political orientation.,logit regression (state-level); Cox proportional-hazards regression (city-level),"Stronger state PUC regulatory authority and more Democratic-leaning political orientation significantly predict adoption of water-shutoff moratoria during the COVID-19 pandemic, at both state and city level.",,,,50 states; 2818 cities,positive (stronger regulatory authority / Democratic-leaning orientation associated with higher moratorium-adoption likelihood),,OBSERVED,"extraction_database.csv S312; source Warner, Zhang & Gonzalez Rivas 2020, Utilities Policy. Outcome is jurisdiction-level policy adoption (whether a moratorium was enacted), not household-level water access itself -- a policy-determinant study rather than an access-outcome study as defined for Families A-C in PROJECT_SPEC.md S8. evidence_map.csv's outcome_family=effective_access coding for this study conflates policy adoption with household access; flagged here for future correction rather than silently pooled as if it were an access outcome. No exact numeric coefficient/OR/CI located in the extracted abstract text.",FALSE,"ANALYSIS_PLAN.md S2 -- outcome is not a household-level access outcome comparable to Families A-C (see provenance_note); no numeric effect size available in extracted text to pool even in principle, per PROJECT_SPEC.md S14 never-fabricate rule."
S353,effective_access,,"Community water system (CWS) ownership type: privately owned vs. publicly owned, in Virginia's Safe Drinking Water Act (SDWA) regulatory-compliance regime (2006-2016).",Publicly owned CWSs.,"negative binomial regression, adjusted odds ratio (OR) with 95% confidence interval","Privately owned CWSs had 90% higher odds of a Monitoring & Reporting (MR) violation than publicly owned CWSs (OR=1.899, 95% CI 1.455-2.478). (The study also reports a separate, real effect for %Black population on Health-Based violations, OR=1.031 [1.018-1.045] per 1-percentage-point increase, and for system size on MR violations -- ownership type is recorded here as the clearest single legal/institutional exposure-comparator per CODEBOOK.md S12's one-prespecified-effect-per-study default; the race-based finding was not used as the primary effect for the same reason S135 was excluded from this file entirely -- population demographic composition is not itself a legal/institutional exposure.)",1.455,2.478,,"662 CWSs (886 zip codes), 2006-2016",positive (private ownership associated with higher odds of a monitoring/reporting violation),"adjusted (negative binomial regression, LASSO-selected covariates: race/ethnicity, %homeownership, %65+, rurality, system size, source, year)",OBSERVED,"extraction_database.csv S353; source Marcillo, Krometis & Krometis 2021, IJERPH 18(24):13254, Table 1. Ownership type (private/public) is a real institutional/regulatory-model variable, but does not cleanly match Family A (household-level legal recognition/tenure), Family B (bureaucratic assistance to applicants), or Family C (a specific documented administrative barrier such as a fee or eligibility rule) as defined in PROJECT_SPEC.md S8 -- it is a provider-level ownership-structure characteristic predicting regulatory-compliance outcomes, not a household-facing legal/administrative barrier. Recorded without a family assignment rather than forced into one.",FALSE,"ANALYSIS_PLAN.md S2 -- exposure (utility ownership type) does not match any existing synthesis family's definition; no other study in the corpus tests the same private-vs-public-ownership contrast on a comparable regulatory-violation outcome, so pooling is not possible even in principle yet."
S358,effective_access,A,"Tribal oversight/primacy regulatory jurisdiction over groundwater management, vs. state-primacy regulatory jurisdiction, across 1,881 groundwater-supplied drinking water service areas in Arizona.",State-primacy regulatory jurisdiction areas.,"multivariate regression, adjusted odds ratio (OR)","Tribal oversight significantly reduced groundwater decline risk (OR=0.62, p<0.001), while state-primacy areas showed mixed effects on the same outcome. (The study also reports real ORs for racial/ethnic population composition -- OR=2.01 for higher-Black-population communities, OR=0.92 for Hispanic/Latino communities, both p<0.001 -- but per the same reasoning that excluded S135 from this file, population demographic composition is not itself a legal/institutional exposure, so Tribal-oversight jurisdiction is recorded here as the primary effect instead.)",,,,"1,881 groundwater-supplied drinking water service areas",negative/protective (Tribal oversight jurisdiction associated with lower odds of groundwater decline),"adjusted (multivariate regression controlling for race/ethnicity, gender composition, age 65+, household/family structure, institutional/migrant-worker housing, designated-management-area status)",OBSERVED,"extraction_database.csv S358; source Williams et al. 2025, Water 17(7):1097. Tribal oversight/primacy is a genuine jurisdictional legal-recognition variable (which government has regulatory authority) directly analogous to PROJECT_SPEC.md S8 Family A's 'legal recognition and access' framing, though it operates at the level of environmental/water-resource regulatory authority rather than household tenure or service-eligibility status as in S084/S085/S142 -- flagged as a looser fit than those three, not a like-for-like replication.",FALSE,"ANALYSIS_PLAN.md S2 -- single study for this Tribal-oversight-vs-state-primacy exposure-comparator; no other Family A study yet shares this operationalization of legal/jurisdictional recognition, and the outcome (groundwater decline risk, a resource-availability precursor to access) is not the same estimand as S084/S142's direct household-connection/quantity outcomes, so pooling would risk manufacturing comparability across different outcome constructs."
S388,effective_access,,"Water point maintained by a local authority (institutional/governance management arrangement), vs. water point with no management arrangement at all.",Water points with No Management (no institutional/governance body responsible for maintenance).,adjusted odds ratio (multivariable logistic regression),Local management vs No Management: adjusted OR = 3.733 for water-point functionality.,2.993,4.657,,"11,065 Afridev hand pumps, Liberia",positive (institutional/local management associated with higher odds of functionality),"adjusted (multivariable logistic regression controlling for repair time, mechanic/toolkit availability, payment status, water availability, spare-parts-supplier distance, damage status, county)",OBSERVED,"extraction_database.csv S388; source Li, McManus & Cronk 2025, Sustainability 17(19):8928, Table 5. Genuine institutional/governance-management exposure (who is responsible for a water point's maintenance) vs. a real comparator (no management), with a locatable adjusted OR and 95% CI from a large administrative census (n=11,065). synthesis_family left blank rather than forced into Family A/B/C: the exposure is institutional management CAPACITY/responsibility-assignment, not quite legal recognition/tenure (Family A), application-process bureaucratic assistance (Family B), or a barrier restricting access (Family C) -- a real judgment call, not a mechanical fit, so left for a human/manuscript-stage decision rather than guessed. Two further comparator categories (Institutional vs No Management, adjusted OR=2.893, 95% CI 2.349-3.562; WASH Committee vs No Management, adjusted OR=2.426, 95% CI 1.946-3.026) are available in the source but not used as the primary effect here, per CODEBOOK.md S12's one-prespecified-effect-per-study default -- Local vs No Management was selected as the strongest and most policy-emphasized of the three (highlighted first in the paper's own abstract).",FALSE,"ANALYSIS_PLAN.md S2 decision tree -- single study defining this exact exposure-comparator (local-authority management vs no management for Liberian hand pumps); no other included study yet shares this operationalization, so pooling is not yet possible or meaningful."
S398,primary_connection,A,"Household census-tract location within an area designated ZEIS (Zona Especial de Interesse Social / Social Interest Special Zone) in Recife, Brazil -- a legal/institutional zoning-eligibility status conferred under municipal ZEIS legislation (Municipal Land Use Law 14,511/83, PREZEIS Municipal Law 14,947/87, as amended) to areas meeting statutory low-income/informality criteria.","Matched census tracts not subject to ZEIS designation, before/after the intervention (difference-in-differences).",difference-in-differences (DiD) percentage-point estimate,"ZEIS designation associated with an approximately 23 percentage-point increase in the share of households with sewage-network access, 14-17 years after implementation (~150% increase over the 1991 baseline level); also significant positive effects on water-network access and homeownership rate; no significant effect on bathrooms per household or garbage-collection access.",,,,"census-tract panel, Recife, 1991/2000/2010 (962 census tracts in 1991)",positive (ZEIS designation associated with increased water/sewage-network access and homeownership),adjusted (difference-in-differences with census-tract fixed effects; robust across multiple control-group definitions and econometric specifications),OBSERVED,"extraction_database.csv S398; source dos Santos Nascimento Sobrinho & da Mota Silveira Neto 2025, Nova Economia 35(3):e8355. A genuine Family A (legal recognition/eligibility) exposure -- ZEIS zoning-law designation, a real legal/institutional eligibility status defined by statute -- with a real quasi-experimental (DiD) comparator and a locatable, non-fabricated percentage-point effect estimate from official IBGE census panel data. Exact numeric coefficients/standard errors for the water/sewage-access DiD estimates were not located in the extracted abstract/results-narrative text (only the ~23-percentage-point sewage figure and directional/significance findings were reported in the pages read); the full regression-output table was not retrieved in this pass.",FALSE,"ANALYSIS_PLAN.md S2 decision tree -- single study defining this exact exposure-comparator (ZEIS zoning-law designation vs non-ZEIS census tracts, Recife); no other included Family A study shares this operationalization, so pooling is not yet possible or meaningful."
S404,economic_access,A,"Household membership in a Water Resource Users' Association (WRUA), a legal collective-action institution established under Kenya's Water Act 2002/2016",Household non-membership in a WRUA (no formal legal water-governance institutional status),"Average Treatment Effect on the Treated (ATT), water poverty index","-0.14 to -0.32 (14% to 32% reduction in water poverty), depending on estimator (endogenous switching probit: -14%; inverse probability weighting: -30%; propensity score matching: -32%)",,,,652 households,WRUA membership reduces water poverty,TRUE (endogenous switching regression and matching methods correcting for non-random selection into WRUA membership),OBSERVED,"Mwaura et al. 2021, Ewaso Ng'iro North Catchment Area, Kenya; effect consistent in direction and approximate magnitude across three independent quasi-experimental estimators (ESP, PSM, IPW); p<0.05 across all three per the study.",FALSE,Single study for this specific exposure-comparator definition (WRUA legal membership vs. non-membership); no other study in the corpus shares a comparable estimand -- ANALYSIS_PLAN.md S2 decision tree not yet cleared for any family.
S434,effective_access,,"Household located within a 50 km radius of an active mining site, Africa (proximity-based exposure to local economic/institutional activity associated with mining).",Households outside the 50 km active-mine radius (including households near inactive/closed mines).,"instrumental-variable regression, percentage-point difference in self-reported probability","Households within 50 km of an active mine reported a 4 percentage-point lower probability of lacking clean water, supported by IV estimates as a causal effect; robust local institutions were found to further moderate (strengthen) this water-security benefit.",,,,"142,838 households",positive (active-mine proximity associated with reduced probability of lacking clean water),TRUE (instrumental-variable regression with household/regional covariates),OBSERVED,"extraction_database.csv S434; source Frempong, Stadelmann & Thiam 2025, Applied Economic Perspectives and Policy. Institutional-strength (local governance) moderation of this effect is reported narratively in the source but not as a separate numeric interaction coefficient in the retrieved text, so only the primary 4-percentage-point IV estimate is recorded here.",FALSE,"Single study for this specific active-mine-proximity exposure-comparator; no other included study shares this operationalization (spatial proximity to extractive-industry sites as an institutional/water-security exposure), so pooling is not yet possible or meaningful."
S435,economic_access,,Portion of a California special water district's board seats that are uncontested (unopposed incumbents) in a given election cycle -- an indicator of weak electoral accountability under California special-district election law.,"Fully contested board elections (portion of uncontested seats = 0), same district population.","probit regression, average marginal effect on predicted probability","The portion of uncontested board seats is associated with an instantaneous -16% change in the probability of a district adopting a low-income water-bill assistance program; predicted probability of adopting bill assistance declines from 0.31 (fully contested) to 0.12 (fully uncontested) as the portion of uncontested seats rises from 0 to 1 -- more than halving. No significant association was found between uncontested elections and Safe Drinking Water Act water-quality compliance (a heavily centrally regulated outcome), indicating the effect is specific to discretionary/redistributive affordability policy.",,,,"528 district-election-cycle observations (176 California water districts x 3 election cycles, 2009-2020)",negative (uncontested elections associated with lower probability of adopting low-income bill assistance),"TRUE (probit with county random effects, controlling for service population, median household income, voter turnout, party affiliation, water source)",OBSERVED,"extraction_database.csv S435; source Allaire & Ignacio 2026, Journal of Urban Affairs, Table 4 and Figure 3. A separate, real effect is also reported in the same paper -- municipal overlap/fragmentation predicting the prevalence of uncontested elections themselves (IRR=1.23, p<0.001, Table 3) -- but per CODEBOOK.md S12's one-prespecified-effect-per-study default, the elections-to-affordability-outcome effect is recorded here as the primary access-relevant estimand rather than the fragmentation-to-elections estimand, since it is the one that reaches a genuine household-service-outcome (affordability policy adoption).",FALSE,"Single study for this electoral-accountability-to-affordability-policy exposure-comparator; no other included study shares this operationalization (special-district election competitiveness as a governance exposure for affordability outcomes), so pooling is not yet possible or meaningful."
S445,effective_access,,"Brazilian rural public elementary school located in the North region (a region with a substantially lower Municipal Human Development Index-Income and higher rural-population share) -- a proxy for weaker municipal fiscal/institutional capacity to invest in school WASH infrastructure under the PDDE's enrolment-based, not needs-based, funding formula.",Schools located in the Center-West region (reference category).,"binomial logistic regression, adjusted odds ratio (OR)","Odds of a school lacking water supply were OR=2.58 (p<0.001) in 2011, rising to OR=6.40 (p<0.001) in 2023, for North-region schools vs. Center-West reference; odds of lacking sanitation were OR=3.32 (p<0.001) in 2011 and OR=5.48 (p<0.001) in 2023.",,,,"56,544 rural public elementary schools (2011); 34,406 rural public elementary schools (2023); national School Census microdata","positive (North-region location associated with higher odds of lacking water/sanitation services, i.e. worse access)","TRUE (binomial logistic regression controlling for indigenous-land location, school size, dropout/pass rates, municipal rural-population share and municipal HDI-income)",OBSERVED,"extraction_database.csv S445; source Medeiros et al., Cadernos de Saude Publica (Portuguese full-text web-snapshot located among the 15 ambiguous-filename Google Docs; DOI 10.1590/0102-311XPT128025). Several further region/indigenous-land/school-size odds ratios are reported in the same source (see extraction_database.csv effect_estimate) but per CODEBOOK.md S12's one-prespecified-effect-per-study default, the North-vs-Center-West water-absence odds ratio is recorded here as the primary effect, being both the largest-magnitude and most consistently significant across both study years.",FALSE,"Single study for this regional-funding-formula-proxy exposure-comparator; no other included study shares this operationalization (national school-level regional funding-formula disadvantage), so pooling is not yet possible or meaningful."
S448,effective_access,,"Brazilian municipality's participation in an intermunicipal cooperation (IMC) arrangement for water and wastewater services (WWS), a formal local-government governance arrangement.",The same municipality in years without IMC participation (panel fixed-effects within-municipality comparison).,panel-data fixed-effects regression coefficient,"IMC participation is associated with a financial-performance index (FIN) approximately 7.3 points lower than the same municipality in non-participating years (coefficient=-7.253, SE=3.721, significant at the 10% level). Separately, IMC participation duration is associated with a positive effect on wastewater coverage (~+0.88 points/year, 10% level) but a negative effect on service quality/water losses (QUA index, ~-0.58 to -0.94 points/year across specifications), while IMC participation itself (random-effects model) is positively associated with QUA (~+4.6 points, 5% level).",,,3.721,panel of Brazilian municipalities directly providing WWS (exact N not located in the retrieved excerpt),negative (IMC participation associated with lower financial-performance index; mixed/non-monotonic effects on coverage and quality dimensions),"TRUE (panel fixed-effects controlling for ln(population); random-effects and correlated-random-effects specifications as robustness checks, Mundlak-test-guided)",OBSERVED,"extraction_database.csv S448; source Ribeiro et al. 2026, Utilities Policy, Table 3 (FIN), Table 5 (WWC), Table 6 (QUA). The financial-outcomes (FIN) coefficient is recorded as the primary effect here because it is the only one of the four performance dimensions with a fully reported coefficient and standard error in the retrieved excerpt; the coverage/quality findings are recorded narratively in the effect_estimate field for completeness but their exact standard errors were not located in the retrieved text.",FALSE,"Single study for this intermunicipal-cooperation exposure-comparator; no other included study shares this operationalization (formal intermunicipal cooperation arrangement, participation vs. non-participation, on WWS financial performance), so pooling is not yet possible or meaningful."
S470,economic_access,,"Post-2021 period in Minas Gerais, Brazil, after Arsae-MG (the state water/sewage economic regulator) introduced a new regulatory norm (Regulation Arsae-MG No. 150/2021) and periodic compliance inspections targeting municipal implementation of an income-eligibility-based water/sewage social tariff.","The same 572 municipalities in the pre-regulatory-enforcement period (2020), before the new norm and inspection regime (panel before/after comparison, no separate control group).","Random-effects GLS panel regression coefficient (REGU dummy) on the DIST Index (% of CadUnico-eligible households actually enrolled in the social tariff, 0-100 scale)","+19.21 percentage points (Model 1, p<0.01), consistent at +19.16 and +18.82 across 2 alternate specifications (Models 2-3); a robustness-check panel retroactively extended to 2018-2021 found a smaller but still significant ~13-13.5 percentage-point effect (0-1 scaled index).",,,0.8174,"1,144 municipality-year observations (572 municipalities x 2 years); robustness check 2,280 observations (570 municipalities x 4 years)",positive (regulatory enforcement associated with higher social-tariff implementation/enrollment),"TRUE (controls for CadUnico update rate, travel time to state capital, municipal sanitation fund, log population/education/internet alternately, and 11 macro-region fixed effects)",OBSERVED,"extraction_database.csv S470; source Amorim, Resende, Miranda & Freistadt 2025, Water Policy 27(11):1153-1174, Table 5 (primary panel models) and Table 6 (2018-2021 robustness-check panel). Complementary Wilcoxon signed-rank tests (Table 4) found significant DIST Index increases in all 11 macro-regions and statewide, corroborating the panel-regression estimate via an independent non-parametric method.",FALSE,"Single study for this regulatory-enforcement-of-social-tariff exposure-comparator (before/after regulatory-enforcement panel on affordability-mechanism implementation); no other included study shares this operationalization, so pooling is not yet possible or meaningful."
