record_id,title_abstract_decision,exclusion_reason,rationale
R6AC5A5B9248F,unsure,,Systematic review linking customer satisfaction/WTP to water utility management; legal/administrative exposure and population unclear from abstract.
RA568151DBC58,include,,Policy analysis of heritage water infrastructure governance and access/entitlements in Indian Himalayan Region.
R0063378D97F8,exclude,E01,Study of urban park amenities and elderly social inclusion; sanitation facilities are incidental.
RB4E30ECD12CE,exclude,E07,"Studies irrigation-service governance for olive farms; agricultural, not household/community service access."
R8E60243E7B0B,exclude,E06,"Engineering/techno-economic review of mining wastewater treatment; industrial, no household access content."
RD844EFE1BD8E,exclude,E01,Social life-cycle assessment of coffee facility labor practices; water/sanitation coverage is an incidental finding.
RA449B34EFE3E,exclude,E06,Materials review of adsorbents for wastewater treatment; pure engineering.
R7BC94CCE3379,exclude,E01,Postharvest coffee processing efficiency study; unrelated to water/sanitation.
R88D1612A5997,exclude,E01,Panel study of GHG emissions/regulatory quality and health outcomes; water/sanitation access is only a covariate.
REA787B5D11B9,include,,Empirical study of local power dynamics/governance excluding rural communities from water access in Cameroon.
R4F8CFC42FFE1,include,,Survey-based study linking leadership/governance factors to sanitation project sustainability/service delivery continuity in Uganda.
R1AD3F9B7DE36,exclude,E01,Psychology experiment on handwashing and problem-solving; unrelated to water/sanitation access.
R76155657D06D,include,,"Empirical study of regulatory-violation disparities in Native American community water systems, linked to SDG6 access."
R8A0F64980998,include,,GIS-based empirical study of administrative/governance-linked water and wastewater allocation inequities in the West Bank.
R83353774624E,exclude,E03,Household survey on water-source choice driven by risk perception/cost; no legal/administrative factor as exposure.
R4BBBD030011B,include,,"Mixed-methods SDG-alignment assessment of water governance and access in Cox's Bazar, Bangladesh."
R38BF0F168948,include,,Qualitative case study of institutional/governance challenges and inadequate water/sanitation access in a Papua settlement.
RD5F4C87F3A7F,include,,Case study of stakeholder governance dynamics delaying a water-supply megaproject and constraining access in Nepal.
RDAD1AD310708,include,,Empirical study of village-council gender composition (institutional factor) affecting piped water access in India.
R212E5E9E84E5,exclude,E05,Critical review of resilience-assessment methodologies/tools; not an empirical access-outcome study itself.
R276B6A86C010,include,,Cross-sectional study of institutional WASH provision and access/hygiene gaps in South African schools.
R31C57D742BD0,exclude,E06,Technology review of wastewater treatment/digital tools; not an empirical access/governance study.
R2D132FD6EF37,exclude,E01,"Wetland livelihood-resilience study; water supply is one of several environmental stressors, not the focus."
R5BBF84B2ECE9,exclude,E01,Survey on healthcare-seeking for TB symptoms; unrelated to water/sanitation.
R819F9D5C3821,include,,"Household survey on urban water-service governance, reliability and quality in the Philippines."
R004673C197B1,include,,"Mixed-methods study of governance/infrastructure barriers to rural water access in Turkana, Kenya."
R6B4F2B51A205,include,,Mixed-methods study of water governance and regulatory enforcement affecting access/quality in a Ghana catchment.
R674A03D36636,exclude,E01,Study of rural gentrification and land-use change; water-connection rules are a minor policy implication.
R85534933BB87,include,,Qualitative study of governance exclusion and gendered access to safe water/sanitation in Ghanaian mining settlements.
R4D69DBB5CA9A,exclude,E07,"Grounded-theory management model for underground dam implementation; agricultural/water-security focus, not household access."
R26FD0045CAAA,include,,Qualitative interview study of institutional governance shaping sanitation-project sustainability/service delivery in Uganda.
R7DF861E5DE42,exclude,E04,GIS groundwater-potential mapping study; no governance/access analysis.
R200BDD5BF36E,exclude,E06,Fuzzy water-quality index development for a river; no access/governance component.
RD9D691735131,exclude,E01,Community land-rehabilitation case study post-mining; unrelated to water/sanitation access.
RD53EF642C7B9,include,,"Empirical study of institutional capacity and household service-coverage disparities in karst community water systems, Indonesia."
RC0FF0932D727,include,,Mixed-methods SWOT-AHP study identifying sanitation/water-access and governance weaknesses in a Papua settlement.
RBC0BE29043B2,include,,"Cross-sectional survey of governance/infrastructure barriers to WASH access among displaced households, Philippines."
RCDF9708E56F3,exclude,E01,Desk review of older-adult welfare/exclusion in Namibia; water/sanitation access is one of several minor outcomes.
R6EF07413317D,exclude,E07,"Review of agricultural water-system resilience; irrigation-focused, not household/community access."
REF8077560E98,exclude,E06,Hydrological/engineering optimization model for regional water allocation; no access/governance analysis.
RABBD1D80A46A,exclude,E06,Comparative transportation-model optimization of PDAM water distribution costs; pure operations-research engineering study.
RD2D8161AA722,exclude,E07,"Household solid-waste management assessment along Lake Volta; wrong service (solid waste, not water/sanitation)."
R6E1035471AC3,exclude,E01,Qualitative study of clinical ethics education under environmental stressors; water supply mentioned only as background stressor.
R68BDCC71DE3C,exclude,E06,Materials-science study of nanofiltration membrane performance for pharmaceutical removal; pure engineering.
R7BF56CC1DBB8,exclude,E04,"Fuzzy-set QCA of institutional pathways for potable water reuse project implementation; outcome is project adoption success, not household access/connection/affordability."
R68B09ED28BA5,include,,Qualitative case study of legislative/policy gaps and inadequate water/sanitation access in a South African informal settlement.
R03332ED096BD,exclude,E03,"Household survey applying Bourdieu's capital theory to water-scarcity resilience; exposure is socioeconomic capital, not a legal/administrative factor."
R567DAF227DB7,include,,"Mixed-methods strategy study identifying regulatory/policy constraints on sanitation access improvement in Lamongan, Indonesia."
R24E6C749E5D4,include,,Qualitative feminist political-ecology fieldwork on water governance and women's access struggles in rural Chile.
R707BE74315E0,include,,Historical-archival study of colonial water governance and racially differentiated exclusion from clean water in the Philippines.
R065923F09AD9,include,,Ethnographic study of uneven water/sanitation governance producing health inequity in an Indian informal settlement.
RFDDA47F19D8F,include,,Participatory MCDA study of institutional/governance priorities for sustaining school sanitation service reliability in Uganda.
R157D7AF18CE9,include,,Mixed-methods study of sanitation workers' own access to safe sanitation services and regulatory-enforcement gaps in Ethiopia.
RC8F30C26E10C,exclude,E01,Neural-network simulation of oxytactic microbes in nanofluids; unrelated to water/sanitation access.
RFA6952EDCAD9,unsure,,Historiographical review of Quito's water policy evolution and governance; unclear if it reports an identifiable empirical access outcome.
R5D704E5DAE5D,exclude,E05,"Narrative review of spatial inequality in South Africa; water/sanitation is one of several topics, no primary empirical study."
R36E2180D988F,exclude,E06,Machine-learning remote-sensing model of river nutrient pollution; pure water-quality engineering.
R9CA1F9F1EB9B,exclude,E01,Federal Register notice on an endangered-species permit for sewer rehabilitation construction; not about water/sanitation access.
R1A50C8DD04C3,exclude,E01,Cross-sectional study of occupational health among waste collectors; not about household water/sanitation access.
RA38CFE53A8F0,exclude,E06,Long-term monitoring/modeling of methane emissions from septic systems; pure environmental engineering.
R8DCF1E9D5F7F,exclude,E01,GIS-AHP industrial land-use suitability study; water supply is one minor siting criterion.
R1A89A0F76189,exclude,E01,Environmental-performance index for creative tourism clusters; wastewater proximity is incidental.
R21A06DC383EB,exclude,E06,Materials engineering of COF membranes for ion separation; pure engineering.
RE574EB36EE90,exclude,E06,Engineering review of electrofusion pipeline welding technology.
R202F35A03E2E,exclude,E07,"Qualitative study of workplace sanitation/hygiene conditions in Bangladesh's printing industry; wrong service (occupational, not household)."
R7050D3D0A9CF,include,,"Secondary-data policy review of Nigeria's SDG6 progress, governance inefficiencies and water/sanitation access gaps."
R711FD4F0EDD1,exclude,E06,Narrative technology review of wastewater resource-recovery adoption disparities; not a household access study.
R0EA2F719D175,unsure,,"Participatory Bayesian model of rural water-supply governance and ecosystem-service multifunctionality; outcome is a multifunctionality index, not clearly an access/connection metric."
R2F481E2EFDF5,exclude,E06,Materials engineering of MXene membranes for cation separation; pure engineering.
R174328BEEE2D,include,,Policy review of Indian urban water-supply regulations and caste-based access disparities using census data.
RF76B93B6E57F,exclude,E01,"Perspective on pediatric scabies outbreaks; sanitation is one of several risk factors, not the focus."
R49DD8A8C55BF,exclude,E01,Systematic review of bacteriophage therapy against resistant bacteria in sewage; unrelated to service access.
RF284E632406E,exclude,E04,"Contingent-valuation survey of willingness to pay for watershed conservation; outcome is WTP for conservation, not access/connection/affordability."
RF38DFF0BA5CF,exclude,E06,"Review of AI-based water-quality analysis techniques; pure engineering, no access/governance content."
RA02294A4D1FD,exclude,E06,Bibliometric analysis of clay-based industrial produced-water treatment technologies; not household access.
REA35C26A8C6C,include,,Empirical compliance assessment of household sanitation systems against a national regulatory standard in Kigali.
RDCD8E857A705,exclude,E05,"Doctrinal essay on universal human rights in Africa; water/sanitation is one incidental example, no empirical evidence."
R651242143FCF,exclude,E06,Engineering case study of an aquifer storage/recovery reclaimed-water system in Florida; utility engineering focus.
R0097C3056270,exclude,E06,Review of electrode-microbe-catalyst systems for nitrogen recovery in wastewater; pure engineering.
R651E8D4F8F49,unsure,,Systems-dynamics modeling of IWRM leverage points including governance and water access in Ethiopia; primary data source/population unclear from abstract.
RB334FC53A1A9,include,,Mixed-methods study of institutional accountability gaps in public toilet provision and gendered access barriers.
R4DAC96FD6E90,exclude,E01,Scoping review of health-system climate-change strategies; not specific to water/sanitation access.
RCCFC0529D594,unsure,,Household survey evaluating a climate-adaptation program's uneven drinking-water infrastructure gains by caste; water is one of several vulnerability domains.
R86C2630C985B,include,,Qualitative case study of an illegal settlement's regulatory/legal status and exclusion from water/sewage infrastructure in Italy.
RF8B028A20840,exclude,E01,Clinical guideline for pediatric drug extravasation management; unrelated to water/sanitation.
R47E1C373AA67,exclude,E01,"Synthesis of wastewater-based epidemiology surveillance development in the Philippines; disease surveillance, not access."
RA944E307C5CA,exclude,E05,"Conceptual One Health networking framework; WASH is one of seven intervention fields, no empirical evidence yet."
R1FE793483944,include,,Mixed-methods evaluation of informal-settlement upgrading policy and water/sanitation access outcomes in Trinidad and Tobago.
R06A974F94B9F,exclude,E01,Narrative review of lead exposure and regulatory failure; water is one of several minor exposure pathways.
R0B462A3EF2D7,unsure,,Case study applying Balanced Scorecard governance tool to a water utility's non-revenue water; unclear link to household access/connection outcome.
R200891F0108B,exclude,E01,Regulatory framework for EU-US food export compliance; sanitation SOPs are a minor food-safety element.
RD9E82AD66AEF,exclude,E07,"Baseline assessment of solid-waste management in traditional markets; wrong service (solid waste, not water/sanitation)."
RE4DD022957CF,include,,Qualitative study of institutional/governance barriers to WASH service access in Nigerian urban slums.
R8FAC6844BD66,include,,Qualitative institutionalist study of sanitation infrastructure governance trade-offs across Cape Town neighbourhoods.
R669BE82AD3F6,exclude,E04,"Review of waterborne-disease burden from contaminated groundwater; outcome is disease burden, not access/connection/affordability."
R92676586284C,exclude,E05,Technical overview of smart water infrastructure benchmarks; no empirical population/exposure/outcome design.
R8AC9D969EC05,unsure,,"Psychometric validation of sanitation-empowerment scales across 8 cities; primarily a measurement-development study, not a reported access outcome."
R709210D37F52,exclude,E05,Narrative literature review of Malaysia's water-security governance challenges; no primary empirical population/exposure/outcome.
RF93B9EFC13F8,exclude,E05,Conceptual essay on the global freshwater crisis and governance; no empirical evidence.
RBDA703859BEA,include,,Panel-data study of intermunicipal cooperation governance and water/wastewater service coverage and quality in Brazil.
R64277CD97240,exclude,E02,"Contingent-valuation survey of firms' willingness to pay for industrial water service; wrong population (firms, not households)."
R94136FA12384,exclude,E02,"Scoping review of infection-control practices in water-scarce healthcare facilities; wrong population (healthcare facilities, not households)."
RA9BC8541CADC,include,,Field-study analysis of Oman's shift from decentralized to centralized water governance and its effect on drinking-water access.
R5E653CCC67DF,include,,Cross-country panel study of governance effectiveness as a predictor of equitable water/sanitation access.
RFF914C913EB0,unsure,,"Concept note analyzing Brazil's menstrual-health legislation and WASH access gaps; narrative policy analysis, empirical basis unclear."
RC848E4BF3E91,include,,Qualitative interview study of licensing/regulatory barriers facing small-scale water producers serving low-income Kenyan areas.
R2D6E5154CE63,include,,Systematic review of 375 empirical studies on institutional enablers/obstacles to water-service access via IWRM.
R736F132F3B41,include,,Panel-data study of a state affordability law's effect on water utility disconnections and socioeconomic disparities in New Jersey.
RB30837CAFE26,exclude,E01,"Regularized-regression modeling of dengue determinants; sanitation is one of several predictor groups, not the focus."
RF4942DB1F714,exclude,E01,Study of climate migration and slum livelihoods in Dhaka; water/sanitation access is one of several services discussed broadly.
RCBAA87F83EE7,include,,"Mixed-methods study of hybrid sanitation infrastructure governance and access outcomes in Tema, Ghana."
R2CE360B61BBF,include,,Geographic governance-mapping study of water security and infrastructure access deficits across Libya's jurisdictions.
RCBC22C5CA0EE,exclude,E07,"Mixed-methods study of informal wastewater irrigation in agriculture; wrong service (agricultural, not household/community)."
R78CBA3706419,include,,Historical-institutional analysis of an inter-basin water transfer project and resulting water-access disparities in South China.
R6A466BAF0B8D,include,,Geospatial empirical study of governance-linked wastewater/water-supply disparities and environmental injustice in the West Bank.
R1685C2CB03AD,exclude,E05,Technology/policy synthesis review of decentralized greywater reuse barriers in ASEAN; no identifiable empirical population/exposure/outcome.
R315079D3533B,exclude,E03,"Municipal statistical analysis of water/energy supply during Lebanon's economic collapse; exposure is economic crisis, not a legal/administrative factor."
R0D874C66A0CC,exclude,E01,"Historical accounting-history study of 1880s water utility governance in Cork; focus is accounting practice, not access outcomes."
R849F2998963F,exclude,E05,"Perspective piece on climate justice and health in Sierra Leone; water/sanitation is one of many mentioned risks, no empirical study."
R21CCE139F360,exclude,E06,AI/digital-twin review for river-reservoir water-quality management; pure engineering.
RD7E384E0B388,include,,Ethnographic study of sanitation infrastructure governance and constitutional-rights gaps in South African toilet redesign.
R79193F050B17,exclude,E06,Review of machine-learning methods for surface water-quality modeling; pure engineering.
R14FCA6356F55,exclude,E04,"Analysis of energy efficiency and non-revenue water in Jordan's water sector; outcome is energy/operational efficiency, not access/connection/affordability."
RBE3746E24798,exclude,E01,Plant physiology study of root water-uptake traits; unrelated to water/sanitation access.
RA460D449393A,unsure,,Systematic scoping review of a WASH improvement tool in healthcare facilities; population is healthcare facilities rather than households/communities.
R29308B994540,exclude,E01,Qualitative case study of corporate ESG practices in Tanzanian breweries; water access is one minor reported metric.
RFAD906D0E09B,exclude,E01,"Cross-country pandemic-performance index; water/sanitation access is one of many minor indicators, not the focus."
RA18CACA8BA7C,include,,Mixed-methods forensic study of governance failures and mismanagement driving unequal water-supply impacts during a South African drought.
R3DC7B43685C5,exclude,E05,Systematic scoping review of emotions in water governance decision-making; literature synthesis without empirical access-outcome data.
R849818391C34,exclude,E07,"Review of circular water/nutrient systems in agriculture; wrong service (agricultural, not household/community)."
RC8B07ED6AB66,include,,Historical-institutional analysis of hydraulic infrastructure governance and social inequality in modern Guangzhou.
R0D003CC5229F,exclude,E01,"Narrative review of infectious disease/AMR crisis in Gaza; WASH collapse is a contributing factor, not the focus."
R8978A7910D69,exclude,E02,"Global consumption-based water footprint and trade analysis; wrong population (national/global, not household/community)."
RDF2264278929,include,,"Qualitative interview study of financial, administrative and procedural barriers to safe drinking water in rural North Carolina."
R096EECC98853,exclude,E07,"Engineering model for multi-point hydraulic control of irrigation canals; agricultural, not household/community."
R387A5E6F2C60,exclude,E07,"Life-cycle assessment of rice cultivation trade-offs; agricultural, not household/community water/sanitation access."
RC72A82468618,include,,Qualitative interview study of organizational culture shaping water utility affordability policy and environmental justice in US cities.
R1A676547EA4B,exclude,E01,Mixed-methods study of rising cesarean-section rates; unrelated to water/sanitation access.
R019B3D905C33,exclude,E06,Environmental chemistry study of PFAS contamination in a river-sea continuum; pure water-quality science.
RAD10C62A249B,include,,Household survey on local government service-delivery capacity (including water/sanitation) and rural-urban migration in Somalia.
R56D354E5DEA0,unsure,,Book chapter on off-grid water governance and regulation; empirical basis (interviews) unclear relative to conceptual discussion.
R95DC2064DB92,unsure,,"Comparative legal/regulatory analysis of drinking-water quality standards; outcome is regulatory stringency, not clearly an access/connection/affordability metric."
R5452C5ACAAE5,exclude,E01,Qualitative model for village-fund rural poverty reduction; sanitation is one minor component of a broader poverty policy.
RA68C586C9114,include,,Analysis of Nepal's constitutional/federal water governance framework and water/sanitation access progress under SDG 6.
RF626146EFA5E,include,,Cross-sectional survey identifying institutional trust as a determinant of households' willingness to pay for water services in Ethiopia.
RC4A0F646F2E9,exclude,E04,"Remote-sensing/GIS groundwater potential zoning study; pure hydrogeological modeling, no access/governance outcome."
R0CC90B1F80FC,include,,Empirical analysis of World Bank financing governance and its link to water/sanitation access outcomes across countries.
RCC7583AE34FD,exclude,E03,"Factor-analytic survey of household water-access determinants (proximity, quality, preference); no legal/administrative exposure examined."
RB39DEE7A7103,exclude,E01,"Systematic review of land-based marine pollution from river basins; focus is coastal pollution, not household water/sanitation access."
R3F3835179BD3,exclude,E04,"Mixed-methods survey of public trust in AI-driven WASH governance tools; outcome is technology-adoption trust, not access/connection/affordability."
RAF8C81116133,exclude,E01,Remote-sensing study of wetland vegetation carbon storage; unrelated to water/sanitation access.
RAD505AF1A9C5,exclude,E04,"Systematic review of global water-conflict drivers; outcome is conflict occurrence, not access/connection/affordability."
R93EA2B2D00E7,exclude,E01,Review of cephalosporin antibiotic contamination in aquatic environments; unrelated to water/sanitation access.
R9276DE9E942B,exclude,E07,"Qualitative study of solid-waste valorization opportunities in Ghana; wrong service (solid waste, not water/sanitation)."
R7F3AF0CB4E5D,exclude,E01,"Qualitative study of street-level bureaucrats' encampment-displacement decisions; sanitation is a discursive justification, not an access outcome."
R0A9643F7E2EC,include,,Qualitative PESTEL analysis of institutional/regulatory constraints on small-scale water service producers in Kenya.
R0EED8AA2584C,exclude,E01,"Survey of night-market vendor performance; sanitation is one minor structural feature among many, not the focus."
RAD92541D5972,include,,Qualitative governmentality study of NGO accountability in a water and sanitation project among marginalized communities in Pakistan.
RF66ADEF2AF4F,exclude,E05,Narrative book chapter synthesizing international water-partnership case studies; no identifiable primary empirical population/exposure/outcome.
RFF4C06124681,exclude,E06,Materials-engineering study of graphene oxide membranes for dye removal; pure engineering.
R3B7C0690BAAB,include,,Regulatory-policy analysis of institutional asymmetries between drainage/stormwater and other sanitation services under Brazil's new sanitation law.
R55A85B90608C,include,,Geospatial empirical study of drinking-water disparities between private-well and municipal-supply populations in Sweden.
R1F22858448DC,exclude,E03,"Qualitative gendered study of household water-management coping during climate stress in a refugee camp; exposure is climate/gender roles, not a legal/administrative factor."
R068F867FBBD8,include,,Network-analysis study of inter-local collaborative governance arrangements and cost/reliability efficiency in US water and wastewater services.
R841731B52B79,exclude,E01,"Review of antimicrobial-resistance policy in India; water/sanitation is a minor contributing factor, not the focus."
R762C6673156D,unsure,,Mixed-methods survey of WASH-facility association with menstrual hygiene among nursing students; population/exposure framing is individual-level rather than clearly institutional/legal.
R57745865C951,exclude,E01,Delphi-based circular-economy readiness assessment across multiple resource sectors; not focused on water/sanitation household access.
R92CAAD8B19CB,exclude,E07,"Review of aquaculture wastewater treatment technologies; industrial/agricultural, not household/community."
RBA2E31AC4ACE,exclude,E04,Comparative groundwater vulnerability modeling (DRASTIC) for an aquifer system; pure hydrogeological modeling.
RC5E636CD20C2,exclude,E01,Description of a crowdsourced municipal issue-reporting app; water supply is one of several minor issue categories.
R8F8E04373A05,exclude,E05,Conceptual paper introducing gendered categories for valuing-water policy discourse; no empirical population/exposure/outcome.
RA8DB5B9235F0,include,,GIS/administrative-records analysis of a community-based drinking-water programme's service continuity under flood/landslide hazards in Indonesia.
RB827167D3F95,exclude,E01,"Chapter on municipal public participation and social innovation; sanitation is one of several services mentioned, not the focus."
RCDA6F7F48E4F,exclude,E01,"National survey study of children's opportunity inequality across education, health and basic services; sanitation is one of several outcome indicators."
RBAEEF918A104,exclude,E01,Implementation study of a clinical decision-support tool for fall prevention; unrelated to water/sanitation access.
RC307AD2C847B,exclude,E04,"Panel study of tourism and bathing-water quality in the EU; outcome is water quality, not access/connection/affordability."
R602AAD10430D,exclude,E03,"Mixed-methods household survey of water/sanitation access determinants (income, facilities, literacy); no legal/administrative exposure examined."
R0F362F7031AF,exclude,E01,Land-use/ecosystem-service change study linked to resettlement and farming; water supply is one minor ecosystem function.
R04E51ED20A4A,include,,Ethnographic study of formal climate-adaptation governance excluding informal neighbourhoods from water/sanitation recognition and access in Cape Town.
RED3F7820C545,include,,Documentary/legal analysis of weak enforcement of India's manual-scavenging bans and its effect on sanitation workers.
RF9F4B3C3B165,exclude,E06,Engineering review of solar-driven desalination technologies; pure engineering.
R17018E70F2BC,exclude,E01,Multi-country survey analysis of child stunting determinants; WASH mentioned only as a minor multisectoral recommendation.
R3076E09A98B6,unsure,,"Study of urban water accessibility and municipal-body governance role in Delhi; methodology described in future/proposal tense, empirical completion unclear."
R422F471C69D1,exclude,E06,Geostatistical kriging study of coastal groundwater quality; pure hydrogeological science.
RDE6C4D941623,exclude,E03,"Survey of public attitudes toward wastewater reuse in Haiti; exposure is risk perception/attitudes, not a legal/administrative factor."
RF23A45748719,exclude,E06,Engineering study of biomethane production from agricultural waste co-digestion; pure bioenergy engineering.
R332D2A0DDD66,exclude,E01,"Multi-city urban health-risk modeling across seven provisioning systems; water/sanitation is one of several systems studied, not the focus."
RB37559A158F6,exclude,E06,Materials-engineering study of adsorbent dye removal from cigarette waste; pure engineering.
